Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Puissance moyenne journalière des pertes modélisées (W);Puissance moyenne journalière de la consommation totale (W);Puissance moyenne journalière de la consommation totale HTA (W);Puissance moyenne journalière de la consommation télérelevée HTA (W);Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la consommation profilée HTA (W);Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la production totale (W);Puissance moyenne journalière de la production télérelevée totale (W);Puissance moyenne journalière de la production profilée totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production cogénération totale (W);Puissance moyenne journalière de la production autres totale (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production cogénération profilée (W);Puissance moyenne journalière de la production hydraulique profilée (W);Puissance moyenne journalière de la production autres profilée (W);Température moyenne journalière réalisée lissée (°C);Température moyenne journalière normale lissée (°C);Pseudo rayonnement
2022-01-01;1;35069618083.0;1919454167.0;324651441.0;3121966518.0;37429913584.0;8101920972.0;7850539767.0;1768565802;6564618;182031768;251381205.0;2418809517.0;4245250895.0;20706770011.0;7726367627.0;7429002525.0;297365101.0;960409835.0;3603860343.0;1547135802.0;1614961646.0;289134412.0;351271.0;5820393.0;2059025.0;10.6;4.8;68
2022-01-02;1;35493597021.0;5792614625.0;287492823.0;3227201881.0;38744742504.0;8422687458.0;8171402076.0;1818416007;5990615;190549826;251285382.0;2449499233.0;4350486143.0;21507113222.0;12558454814.0;12397559956.0;160894858.0;546796459.0;8869290323.0;1548172387.0;1594195645.0;152610380.0;351271.0;5872782.0;2060425.0;10.6;4.8;31
2022-01-04;1;44733228958.0;3474955875.0;380037836.0;3495804952.0;47132209688.0;13755691189.0;13444636191.0;2594800616;6251877;188605625;311054998.0;3465898692.0;5686191097.0;21434770592.0;9749779393.0;9609020119.0;140759274.0;426560640.0;6154085207.0;1568406212.0;1600727334.0;132377741.0;343895.0;5947820.0;2089818.0;10.0;4.8;21
2022-01-05;1;50089774458.0;2304616667.0;465343191.0;4073332429.0;52123038141.0;14355972185.0;14027822568.0;2781277538;6293791;232871204;328149617.0;3682259066.0;6068897724.0;24995466633.0;8876555970.0;8618242786.0;258313183.0;901045079.0;4796617818.0;1589896027.0;1588997045.0;249932160.0;336739.0;5956606.0;2087679.0;7.7;4.8;61
2022-01-09;1;45222229167.0;3335794208.0;425839229.0;4057220358.0;46812789156.0;9796634995.0;9515309737.0;2124414117;6049883;248752779;281325258.0;2855692282.0;5160887521.0;26620357579.0;9409413786.0;9298902449.0;110511336.0;369640648.0;5889897600.0;1602399933.0;1547475604.0;99097876.0;345778.0;5969045.0;5098637.0;6.4;4.8;23
2022-01-10;1;53177061104.0;568917146.0;532982985.0;4219980147.0;52990489309.0;14145736661.0;13809789610.0;2880430268;6256184;237865719;335947051.0;3789721879.0;6122850462.0;25807628135.0;5135308484.0;5003815232.0;131493252.0;463283489.0;1269904854.0;1984966785.0;1417153356.0;123148070.0;353152.0;5868169.0;2123861.0;6.1;4.8;30
2022-01-14;1;59537152313.0;322346250.0;564695565.0;4955816046.0;58822611937.0;14618147854.0;14257577867.0;3028707830;6477647;287361022;360569987.0;4221686902.0;6874261366.0;29785969317.0;5128317485.0;4779486386.0;348831099.0;1189358991.0;672586937.0;1697877537.0;1568494020.0;340452349.0;359486.0;5875313.0;2143951.0;3.0;4.9;76
2022-01-15;1;55915772479.0;447137625.0;544007392.0;5041177083.0;55011666880.0;11273523660.0;10965386334.0;2564848791;6355171;302812234;308137326.0;3634590263.0;6234390623.0;30995146139.0;5128216501.0;4813371071.0;314845430.0;1186177204.0;737674461.0;1657942106.0;1546422730.0;306474809.0;359965.0;5872807.0;2137848.0;2.5;5.0;62
2022-01-20;1;55361382667.0;1217872938.0;527845332.0;4572367172.0;56375936715.0;14964787859.0;14602227887.0;2972053181;6250135;259710769;362559972.0;4149647865.0;6600347599.0;27423139308.0;7332639490.0;7095410737.0;237228753.0;773748800.0;3443232461.0;1654472610.0;1461185619.0;226646084.0;361104.0;5896230.0;4325336.0;4.5;5.2;55
2022-01-23;1;50764696438.0;916257479.0;492774470.0;4602326053.0;51006672892.0;10154569730.0;9857156641.0;2270867445;5898714;286031874;297413089.0;3096910795.0;5520598639.0;29671795693.0;6253334457.0;5962347680.0;290986777.0;1134661202.0;2095912916.0;1668870064.0;1353890275.0;280393564.0;368077.0;5880079.0;4345058.0;3.7;5.3;47
2022-01-25;1;60452751875.0;307430542.0;575283905.0;4995520750.0;59583793223.0;15229219696.0;14850020729.0;3133290118;6283976;288535488;379198967.0;4382987564.0;6907632158.0;29635844223.0;5009276545.0;4673446819.0;335829726.0;1211629717.0;245764598.0;2174525214.0;1377357016.0;325119176.0;359116.0;6006839.0;4344596.0;2.7;5.4;56
2022-01-26;1;60666165292.0;431474000.0;574191983.0;5050207699.0;59948286019.0;15201475021.0;14825453871.0;3104633886;6205440;299396375;376021150.0;4329481015.0;6870631003.0;30136463278.0;5337994409.0;5049144121.0;288850288.0;1109761713.0;653820054.0;2183302331.0;1391110311.0;278139005.0;358756.0;6004135.0;4348391.0;2.5;5.4;48
2022-02-11;2;48911646646.0;1022505438.0;458231010.0;3874765622.0;50339360802.0;13989410905.0;13671271656.0;2690737462;5736421;225011789;318139249.0;3760149610.0;5915705663.0;23752608951.0;6783216226.0;6335659004.0;447557222.0;1471982530.0;2170755582.0;1668833220.0;1471644894.0;438978203.0;358978.0;6273009.0;1947032.0;6.9;6.3;66
2022-02-27;2;40486873354.0;3682318104.0;392114190.0;3673540478.0;43831805303.0;9676448230.0;9415641606.0;2054955719;5036209;237465444;260806624.0;2729460087.0;4774490680.0;24353948935.0;11092904722.0;10471464754.0;621439969.0;1960184313.0;6003155153.0;1661069024.0;1468496233.0;612749583.0;338284.0;6425779.0;1926323.0;6.9;7.3;84
2022-03-01;3;46218558979.0;988296438.0;457255436.0;3538850742.0;47988728541.0;14306025881.0;13988998378.0;2664140648;5199610;205480779;317027503.0;3613266854.0;5569857769.0;21624757001.0;6754572177.0;6252578617.0;501993560.0;1769825200.0;1680530882.0;1836206407.0;1468009688.0;493848119.0;377357.0;5818897.0;1949187.0;7.7;7.4;53
2022-03-10;3;43174218958.0;2082036146.0;403367575.0;3276275524.0;45679743571.0;14071160704.0;13758491336.0;2567889721;4883366;189484931;312669368.0;3520348202.0;5351437862.0;19974538787.0;8267203859.0;7824096315.0;443107544.0;1409072093.0;4228815443.0;1247029877.0;1382286446.0;434944514.0;341119.0;5772990.0;2048920.0;8.6;8.1;48
2022-03-13;3;38355102292.0;4077067354.0;343461203.0;3280988573.0;40349845401.0;9378630321.0;9130238478.0;1897080637;4577555;212705849;248391843.0;2550182923.0;4442490650.0;21864177465.0;9696260240.0;9441380640.0;254879599.0;814546018.0;6898099390.0;606727209.0;1376887622.0;246846879.0;347979.0;5671801.0;2012940.0;9.0;8.4;24
2022-04-20;4;34436646229.0;1931849500.0;264771027.0;2180369958.0;36395453278.0;13119620060.0;12855602000.0;2155619045;3271584;127193507;264018060.0;2841324067.0;4179520147.0;13968904868.0;6335797533.0;5804557616.0;531239917.0;1374038378.0;3323804405.0;176502988.0;1461451762.0;521336544.0;69308.0;7344174.0;2489892.0;13.3;12.7;27
2022-04-28;4;32023388583.0;2573770250.0;244212590.0;2049352231.0;35167478352.0;13187555680.0;12919274871.0;2139934475;3155466;113549762;268280809.0;2800194248.0;4068085143.0;12855003579.0;8011424840.0;7222194466.0;789230375.0;2459559620.0;3770309624.0;190986610.0;1590568987.0;780023460.0;40615.0;7193532.0;1972767.0;14.1;13.8;46
2022-05-01;5;26240491938.0;1774612688.0;215690127.0;2027578108.0;28374060162.0;8099798655.0;7865488894.0;1504938915;2948306;125019589;234309761.0;2027661319.0;3222431550.0;13391261828.0;6151449147.0;5227246221.0;924202926.0;2911515367.0;1596485213.0;91859795.0;1551588772.0;916364872.0;40371.0;5956177.0;1841506.0;13.8;14.2;61
2022-05-09;5;30343689083.0;1416627396.0;233245653.0;1872459750.0;32681332491.0;12717591716.0;12444312544.0;2118655169;2722610;102490837;273279172.0;2649449761.0;3642712250.0;11447710148.0;5859976207.0;4888715216.0;971260992.0;3131757691.0;1154626228.0;150182919.0;1423409370.0;963360465.0;20320.0;6114104.0;1766102.0;17.1;15.2;85
