Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Puissance moyenne journalière des pertes modélisées (W);Puissance moyenne journalière de la consommation totale (W);Puissance moyenne journalière de la consommation totale HTA (W);Puissance moyenne journalière de la consommation télérelevée HTA (W);Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la consommation profilée HTA (W);Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la production totale (W);Puissance moyenne journalière de la production télérelevée totale (W);Puissance moyenne journalière de la production profilée totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production cogénération totale (W);Puissance moyenne journalière de la production autres totale (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production cogénération profilée (W);Puissance moyenne journalière de la production hydraulique profilée (W);Puissance moyenne journalière de la production autres profilée (W);Température moyenne journalière réalisée lissée (°C);Température moyenne journalière normale lissée (°C);Pseudo rayonnement
2020-02-04;2;43683837146.0;5059578688.0;383754598.0;3802391496.0;47257553167.0;14597401258.0;12999584201.0;46461679;177055;39742982;1597817057.0;6303646562.0;5690305531.0;20579818101.0;12819440803.0;12474614461.0;344826342.0;816611096.0;8781503410.0;1773234302.0;1448091995.0;327189306.0;830699.0;15017981.0;1788356.0;10.3;5.9;53
2020-02-20;2;44119073188.0;4238844688.0;404878579.0;3765033583.0;47749696239.0;14491801736.0;12852693947.0;47749405;186612;43838924;1639107789.0;6144476819.0;5551559127.0;21470083616.0;12039379902.0;11562093737.0;477286165.0;1217565808.0;7591338243.0;1769856136.0;1460619715.0;459015945.0;837059.0;15537633.0;1895527.0;8.8;6.8;63
2020-03-02;3;46189299958.0;3142208229.0;408023512.0;3761594484.0;48772025176.0;13788624853.0;12359853982.0;47416165;208925;48506239;1428770871.0;6136602337.0;5749954202.0;23000712455.0;9894551443.0;9578339079.0;316212364.0;650683019.0;6131116250.0;1639920865.0;1472831309.0;298164854.0;884768.0;16095980.0;1066762.0;7.9;7.5;27
2020-03-03;3;49908311271.0;1190572542.0;469042374.0;3807429807.0;51193579574.0;14604479155.0;13055715869.0;50203226;225832;51622529;1548763286.0;6396152405.0;6107733247.0;23983163182.0;6752313026.0;6396489250.0;355823776.0;686337932.0;2996083375.0;1644364077.0;1425527642.0;337814898.0;884765.0;16052542.0;1071572.0;7.1;7.6;45
2020-03-11;3;39330634854.0;5487023771.0;322716717.0;3442816642.0;43358191587.0;14066272778.0;12668404838.0;45472337;162903;40526164;1397867940.0;5223035540.0;5161150516.0;18821571349.0;13280113862.0;12772476100.0;507637762.0;1176599897.0;8924735014.0;1638636262.0;1540142689.0;489398453.0;913318.0;16219489.0;1106502.0;11.1;8.2;52
2020-03-13;3;41047980271.0;2381180250.0;377322662.0;3217083368.0;43975077962.0;13579379725.0;12220332616.0;45346626;167970;41894223;1359047109.0;5257089511.0;5307769273.0;19743430635.0;8902683973.0;8280045866.0;622638107.0;1499281418.0;4104310410.0;1641239575.0;1657852570.0;604397805.0;918818.0;16214700.0;1106784.0;10.1;8.4;61
2020-03-28;3;32575613896.0;2922883333.0;288801379.0;2744470986.0;35852169807.0;8251863039.0;7391614429.0;31968781;103692;45168916;860248610.0;3603259211.0;3727630696.0;20192175471.0;9232711610.0;8450166253.0;782545356.0;1791981798.0;4476144764.0;1561816917.0;1402768130.0;764129209.0;927841.0;16369206.0;1119101.0;9.2;9.9;77
2020-03-29;3;32712603283.0;7022989739.0;240548817.0;3244481836.0;36902964730.0;7711761181.0;6913791731.0;30511498;113875;48867440;797969450.0;3155700209.0;3782777691.0;22173232835.0;14698381840.0;14097606669.0;600775171.0;1302296735.0;10497524594.0;1561842951.0;1336717560.0;582612121.0;926451.0;16114524.0;1122074.0;8.5;10.0;46
2020-04-02;4;39227587438.0;824264521.0;357154862.0;2555831218.0;40214978120.0;10842296367.0;9527665006.0;38744163;120558;46683379;1314631361.0;4270197485.0;4050553194.0;20966382975.0;4724641284.0;3981189940.0;743451345.0;1606902614.0;1784920431.0;4167294.0;1328650946.0;731269478.0;80717.0;10988833.0;1112316.0;8.0;10.4;72
2020-04-04;4;32877771604.0;1376458646.0;305415823.0;2464384627.0;34268929317.0;8223843894.0;7413498967.0;34513527;94583;42047649;810344927.0;3319000358.0;3696366508.0;18953062799.0;5537416809.0;4684075364.0;853341445.0;2035921508.0;2189465875.0;3904827.0;1308124599.0;841179027.0;80959.0;10957874.0;1123585.0;9.9;10.7;98
