#### EXPORT DONNEES METEO POUR "BEAUVAIS (OISE)" (LAT/LON: 49.4295387/2.0807123)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2024-01-01,9,6,24,6,8,9,1.9,86,8.875,1012,84.125,9,7,2,116,119,176,0,2,2,météo défavorable,17:03:00,08:48:00,6
2024-01-02,11,9,40,11,11,11,4.8,86,4.75,1005,96.875,11,9,7,266,266,266,0,3,1,météo défavorable,17:04:00,08:48:00,11
2024-01-03,11,9,34,10,11,10,0.2,74,10,1004,80.75,11,7,7,122,119,176,0,3,3,météo défavorable,17:05:00,08:47:00,11
2024-01-04,10,7,21,8,8,10,3.6,94,9.75,1009,86.5,10,8,3,176,122,296,0,2,2,météo défavorable,17:06:00,08:47:00,8
2024-01-05,10,4,17,7,8,6,0,86,10,1007,39.875,10,6,2,113,116,113,0,2,8,météo très défavorable,17:07:00,08:47:00,8
2024-01-06,6,4,19,5,5,5,0.2,86,10,1017,90.5,6,4,2,122,176,176,0,1,1,météo très défavorable,17:08:00,08:47:00,5
2024-01-07,4,-1,22,3,2,1,0,88,10,1026,94.5,4,2,-4,368,122,122,0.1,1,1,météo très défavorable,17:09:00,08:47:00,3
2024-01-08,0,-3,23,-3,-1,-1,0,80,10,1029,51.875,0,0,-9,113,119,119,0,2,3,météo très défavorable,17:10:00,08:46:00,-2
2024-01-09,1,-3,19,-2,-1,-1,0,60,10,1028,74.5,1,0,-8,116,119,122,0,1,6,météo très défavorable,17:12:00,08:46:00,-2
2024-01-10,1,-3,11,-2,-1,-2,0,66,10,1027,50.5,1,0,-7,119,122,113,0,1,5,météo très défavorable,17:13:00,08:45:00,-2
