#### EXPORT DONNEES METEO POUR "CHAUNY" (LAT/LON: 49.61514/3.21857)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2024-01-01,9,5,25,5,8,8,0.7,87,9,1012,83.875,9,6,1,116,122,176,0,2,2,météo très défavorable,16:57:00,08:44:00,6
2024-01-02,11,8,42,10,11,10,6.5,88,5.625,1005,96,11,9,6,266,266,266,0,3,1,météo défavorable,16:58:00,08:44:00,10
2024-01-03,11,9,37,9,11,9,0.3,78,10,1004,83.75,11,6,6,122,119,176,0,2,1,météo défavorable,16:59:00,08:44:00,10
2024-01-04,10,7,25,8,8,10,3.8,94,8.75,1009,88,10,8,3,176,122,296,0,2,3,météo défavorable,17:00:00,08:43:00,9
2024-01-05,10,4,18,6,8,5,0,85,10,1007,42.5,10,6,2,116,116,113,0,2,9,météo très défavorable,17:01:00,08:43:00,7
2024-01-06,6,4,20,5,6,5,0.1,84,10,1016,93.125,6,3,2,122,176,176,0,1,1,météo très défavorable,17:03:00,08:43:00,4
2024-01-07,4,-1,22,2,2,1,0.2,90,10,1026,90.375,4,2,-4,368,122,122,0.1,1,1,météo très défavorable,17:04:00,08:43:00,3
2024-01-08,0,-3,24,-3,-1,-2,0,79,10,1029,54.25,0,0,-10,113,119,119,0,2,2,météo très défavorable,17:05:00,08:42:00,-3
2024-01-09,1,-3,20,-3,-0,-2,0,58,10,1028,57.375,1,0,-8,119,116,116,0,1,9,météo très défavorable,17:06:00,08:42:00,-2
2024-01-10,1,-3,11,-3,-1,-3,0,60,10,1027,39.25,1,0,-8,113,122,113,0,2,5,météo très défavorable,17:08:00,08:41:00,-3
2024-01-11,3,-3,18,-2,1,-1,0,75,10,1033,7.625,3,0,-7,113,113,113,0,2,9,météo très défavorable,17:09:00,08:41:00,-2
2024-01-12,5,-2,11,-2,3,-0,0,95,8,1033,20.875,5,1,-4,143,113,113,0,2,9,météo très défavorable,17:10:00,08:40:00,-2
2024-01-13,4,-1,8,-0,2,0,0,91,10,1030,23.125,4,0,-1,116,113,116,0,2,9,météo très défavorable,17:12:00,08:40:00,0
2024-01-14,3,-2,8,-2,2,1,0,92,10,1022,59.125,3,1,-4,116,119,116,0,2,2,météo très défavorable,17:13:00,08:39:00,-2
2024-01-15,2,-2,18,1,2,-2,0.3,97,9.875,1016,55.25,2,0,-5,368,113,116,0.1,1,8,météo très défavorable,17:15:00,08:38:00,1
2024-01-16,2,-3,8,-2,1,-2,0,81,10,1016,21.75,2,0,-5,116,113,116,0,2,9,météo très défavorable,17:16:00,08:38:00,-2
2024-01-17,4,-2,12,-0,2,1,7.2,99,5.875,1004,100,4,4,-3,302,296,296,0,1,1,météo très défavorable,17:18:00,08:37:00,-1
2024-01-18,1,-8,18,-1,0,-6,1.2,95,6.375,1016,48.75,1,0,-7,332,116,113,3,1,9,météo très défavorable,17:19:00,08:36:00,-1
2024-01-19,0,-8,5,-8,-1,-5,0,96,3.75,1028,7.375,0,0,-10,143,116,143,0,1,9,météo très défavorable,17:21:00,08:35:00,-7
2024-01-20,0,-8,8,-8,-1,-5,0,98,4,1031,22.375,0,0,-10,260,116,143,0,1,9,météo très défavorable,17:22:00,08:34:00,-8
2024-01-21,6,-3,24,-2,3,5,0,99,10,1025,85.5,6,5,-8,311,122,122,0,2,1,météo très défavorable,17:24:00,08:33:00,-2
2024-01-22,10,6,38,8,10,7,0.7,87,9,1026,81.875,10,8,4,176,353,119,0,2,4,météo défavorable,17:25:00,08:32:00,8
2024-01-23,12,5,25,6,7,10,0.8,95,8,1030,94,12,11,2,122,266,122,0,2,1,météo très défavorable,17:27:00,08:31:00,6
2024-01-24,13,9,29,13,12,9,0.1,87,10,1032,71.625,13,11,9,176,116,116,0,3,9,météo défavorable,17:29:00,08:30:00,13
2024-01-25,11,8,14,9,11,10,0.4,97,7.75,1032,97.375,11,9,8,122,176,122,0,2,2,météo défavorable,17:30:00,08:29:00,9
2024-01-26,11,3,32,11,9,5,2.2,86,9.875,1038,44.25,11,9,6,296,113,113,0,3,8,météo défavorable,17:32:00,08:28:00,11
2024-01-27,7,1,6,1,5,4,0,86,10,1038,24.75,7,0,-1,113,113,116,0,2,9,météo très défavorable,17:33:00,08:27:00,2
2024-01-28,10,1,12,2,8,6,0,77,10,1032,40.25,10,4,-1,116,119,116,0,2,8,météo très défavorable,17:35:00,08:25:00,2
2024-01-29,12,5,15,5,10,8,0,94,9,1028,37.5,12,7,3,116,113,116,0,2,9,météo très défavorable,17:37:00,08:24:00,5
2024-01-30,10,5,18,8,10,8,0,95,10,1034,80.625,10,8,5,119,119,116,0,2,2,météo défavorable,17:38:00,08:23:00,8
2024-01-31,10,3,15,3,8,6,0,90,10,1036,39.125,10,4,1,113,113,122,0,2,9,météo très défavorable,17:40:00,08:21:00,4
2024-02-01,10,5,17,9,9,6,0.2,97,9,1036,70.75,10,8,6,122,122,113,0,2,5,météo défavorable,17:42:00,08:20:00,8
2024-02-02,11,3,16,3,8,9,0,86,10,1037,30.5,11,7,0,113,113,122,0,3,8,météo très défavorable,17:43:00,08:19:00,3
2024-02-03,13,8,16,9,12,11,0,88,10,1033,80.625,13,9,7,176,116,122,0,3,4,météo défavorable,17:45:00,08:17:00,9
2024-02-04,11,9,18,9,11,11,0,88,10,1031,85.125,11,9,7,122,176,119,0,3,1,météo défavorable,17:47:00,08:16:00,9
2024-02-05,13,6,17,6,11,9,0,96,9,1029,23,13,6,3,116,113,113,0,3,9,météo correcte,17:49:00,08:14:00,7
2024-02-06,12,9,27,9,10,11,0,73,10,1022,89.125,12,8,6,119,119,176,0,3,2,météo défavorable,17:50:00,08:13:00,9
2024-02-07,11,10,32,10,11,10,1.8,87,8.875,1013,98.375,11,10,7,176,296,176,0,3,1,météo défavorable,17:52:00,08:11:00,10
2024-02-08,12,10,35,12,12,10,2.4,95,7.875,1004,100,12,11,8,296,266,176,0,3,1,météo défavorable,17:54:00,08:10:00,11
2024-02-09,13,9,31,10,12,11,1.2,85,9.875,989,97.75,13,8,7,176,122,353,0,3,2,météo défavorable,17:55:00,08:08:00,10
2024-02-10,11,7,8,7,11,9,1.3,96,6.875,988,81.25,11,8,5,143,122,296,0,2,1,météo défavorable,17:57:00,08:06:00,7
2024-02-11,10,6,24,7,8,7,0.2,84,10,1002,88.875,10,6,3,119,122,176,0,2,2,météo défavorable,17:59:00,08:05:00,7
2024-02-12,10,4,18,4,9,7,0.1,96,9,1015,61.125,10,5,1,143,119,113,0,2,6,météo très défavorable,18:00:00,08:03:00,5
2024-02-13,10,2,18,2,9,8,0,93,10,1021,49.875,10,5,0,113,116,119,0,3,7,météo très défavorable,18:02:00,08:01:00,3
2024-02-14,12,8,19,9,11,12,0.1,94,10,1020,86.625,12,10,7,122,176,176,0,3,1,météo défavorable,18:04:00,08:00:00,9
2024-02-15,16,10,15,10,14,13,0,86,10,1020,54.375,16,9,8,116,116,113,0,3,7,météo correcte,18:05:00,07:58:00,11
